Date,Open,High,Low,Close,Adj Close,Volume
2012-05-10,126.0,129.98,126.0,128.99,128.99,4239750
2012-05-11,128.19,129.37,126.25,128.0,128.0,1838900
2012-05-12,123.1,127.46,123.1,126.7,126.7,1406220
2012-05-14,126.0,126.5,122.72,123.74,123.74,3067130
2012-05-15,124.0,125.0,122.14,124.56,124.56,5068370
2012-05-16,123.64,123.98,119.81,123.88,123.88,6457350
2012-05-17,124.5,125.0,120.25,123.97,123.97,3672200
2012-05-18,119.85,126.8,119.82,121.0,121.0,7109400
2012-05-21,122.0,122.09,120.14,122.09,122.09,3652650
2012-05-22,122.21,123.04,117.56,118.23,118.23,4563710
2012-05-23,117.76,117.76,113.25,114.5,114.5,4985760
2012-05-24,114.48,118.0,112.62,115.0,115.0,4202570
2012-05-25,114.55,116.5,114.12,115.85,115.85,2122740
2012-05-28,117.53,117.99,113.85,113.91,113.91,2311480
2012-05-29,115.02,116.94,112.75,116.4,116.4,5085010
2012-05-30,115.51,116.5,112.51,112.55,112.55,4268270
2012-05-31,112.53,113.7,105.0,105.44,105.44,14689560
2012-06-01,106.2,108.6,105.22,106.99,106.99,7226180
2012-06-04,105.5,108.6,105.23,107.81,107.81,3628290
2012-06-05,108.5,108.86,106.97,107.0,107.0,2871590
2012-06-06,108.0,110.0,105.86,108.1,108.1,4056820
2012-06-07,108.81,110.1,107.0,108.89,108.89,4448340
2012-06-08,108.0,110.0,106.18,109.71,109.71,4259380
2012-06-09,110.0,112.25,110.0,111.35,111.35,1976550
2012-06-13,111.35,114.0,111.05,113.8,113.8,3341540
2012-06-14,114.94,114.94,111.0,111.06,111.06,3301270
2012-06-15,112.4,112.88,111.13,111.57,111.57,7096190
2012-06-18,112.99,118.0,111.87,117.3,117.3,9146510
2012-06-19,117.3,118.94,115.6,116.1,116.1,5848630
2012-06-20,116.73,117.09,112.97,113.5,113.5,3365830
2012-06-21,113.0,114.89,111.51,111.6,111.6,2947300
2012-06-22,110.0,111.48,108.33,110.5,110.5,3764010
2012-06-25,111.08,111.34,109.63,110.55,110.55,2578800
2012-06-26,110.57,114.2,110.57,113.58,113.58,2665320
2012-06-27,113.92,115.42,112.91,114.3,114.3,5596580
2012-06-28,114.6,114.8,111.53,111.73,111.73,2798510
2012-06-29,113.01,117.3,113.01,116.5,116.5,4401110
2012-07-02,117.12,117.94,114.73,116.5,116.5,2855990
2012-07-03,116.54,120.46,116.54,119.66,119.66,4716830
2012-07-04,119.41,121.38,118.46,120.29,120.29,2320760
2012-07-05,120.0,121.39,117.87,118.58,118.58,3513150
2012-07-06,118.27,119.75,117.94,118.39,118.39,2235170
2012-07-09,118.4,120.6,118.07,119.5,119.5,2374030
2012-07-10,119.5,120.41,118.96,119.88,119.88,2465150
2012-07-11,119.6,119.6,115.85,117.95,117.95,4270510
2012-07-12,118.27,118.49,115.21,117.81,117.81,2554550
2012-07-13,118.8,122.0,117.91,119.37,119.37,4801910
2012-07-16,119.37,119.5,117.21,118.85,118.85,1538690
2012-07-17,119.4,120.0,118.62,119.5,119.5,2799520
2012-07-18,119.8,119.9,118.65,119.05,119.05,1279370
2012-07-19,119.2,119.75,118.59,118.76,118.76,2441260
2012-07-20,118.45,118.9,117.0,117.1,117.1,1377810
2012-07-23,116.11,117.24,111.9,112.64,112.64,3377460
2012-07-24,114.25,114.25,111.03,112.96,112.96,2524110
2012-07-25,112.41,115.3,111.51,113.9,113.9,2408350
2012-07-26,114.0,114.7,112.5,113.7,113.7,2748940
2012-07-27,113.27,114.73,113.02,114.66,114.66,3782430
2012-07-30,115.0,116.53,113.76,114.12,114.12,3119720
2012-07-31,114.32,114.97,110.98,111.5,111.5,4917400
2012-08-01,111.5,113.65,111.14,113.0,113.0,3375690
2012-08-02,113.0,114.77,112.01,114.11,114.11,5020750
2012-08-03,114.66,116.45,114.0,115.79,115.79,5056990
2012-08-06,116.73,117.6,116.07,117.13,117.13,4463300
2012-08-07,117.07,117.5,116.07,116.9,116.9,2301020
2012-08-08,116.89,117.4,115.78,117.3,117.3,2189810
2012-08-09,117.59,121.3,117.19,120.99,120.99,5510220
2012-08-10,120.02,122.51,119.15,121.36,121.36,4153090
2012-08-13,121.0,125.8,120.79,124.45,124.45,6335300
2012-08-14,124.52,126.6,124.52,125.87,125.87,5014860
2012-08-15,125.0,126.24,122.71,125.3,125.3,2929340
2012-08-16,125.2,126.72,124.53,126.5,126.5,2964210
2012-08-17,127.0,127.02,124.76,125.21,125.21,2589220
2012-08-20,125.6,125.74,122.01,124.45,124.45,2998300
2012-08-21,124.86,125.9,124.61,125.38,125.38,3563870
2012-08-22,124.29,125.0,123.1,124.9,124.9,1537540
2012-08-23,125.5,127.35,125.2,125.89,125.89,3833420
2012-08-24,125.0,126.26,124.02,126.11,126.11,1806140
2012-08-27,126.19,126.99,124.25,125.93,125.93,1099810
2012-08-28,124.72,126.29,124.67,125.24,125.24,1874910
2012-08-29,125.48,126.2,124.41,125.47,125.47,1717870
2012-08-30,126.26,126.38,124.01,124.85,124.85,1629630
2012-08-31,124.85,125.85,123.37,123.45,123.45,2397990
2012-09-03,123.45,125.69,122.57,125.45,125.45,1136830
2012-09-04,125.23,126.25,124.8,126.0,126.0,1644810
2012-09-05,125.99,126.5,122.1,123.11,123.11,2101070
2012-09-06,123.29,125.55,123.29,125.4,125.4,1888260
2012-09-07,125.45,127.97,125.19,125.52,125.52,4961000
2012-09-10,125.41,127.1,125.35,126.99,126.99,1883510
2012-09-11,108.96,129.48,108.96,128.29,128.29,3281540
2012-09-12,128.9,128.99,126.45,127.1,127.1,2643460
2012-09-13,127.0,127.38,126.03,126.49,126.49,1696660
2012-09-14,129.0,131.7,127.0,131.69,131.69,6946250
2012-09-17,131.1,133.8,130.22,132.11,132.11,6345310
2012-09-18,132.0,136.12,131.51,134.41,134.41,6000530
2012-09-19,135.01,136.4,132.16,135.01,135.01,5309970
2012-09-20,133.0,137.07,133.0,136.73,136.73,3506690
2012-09-21,137.05,139.97,135.21,138.8,138.8,5173470
2012-09-24,138.56,139.93,137.22,139.4,139.4,2850160
2012-09-25,139.4,141.4,136.7,137.0,137.0,2822310
2012-09-26,136.5,136.81,132.2,134.0,134.0,3405610
2012-09-27,134.48,135.99,131.01,132.74,132.74,2970500
2012-09-28,133.7,136.46,132.25,134.4,134.4,4424830
2012-10-01,133.5,138.8,132.61,138.72,138.72,3355060
2012-10-02,138.85,138.85,136.4,137.9,137.9,1361380
2012-10-03,137.03,137.89,134.2,136.5,136.5,1569350
2012-10-04,137.01,137.21,134.1,134.25,134.25,1335680
2012-10-05,135.92,138.7,135.2,135.2,135.2,2889150
2012-10-08,135.2,135.59,133.3,133.8,133.8,1429610
2012-10-09,133.91,137.8,133.91,136.62,136.62,3492920
2012-10-10,136.25,136.44,134.8,135.5,135.5,2010990
2012-10-11,135.2,135.48,133.83,134.97,134.97,1686350
2012-10-12,134.98,134.98,131.19,132.8,132.8,3269840
2012-10-15,132.15,134.43,131.75,132.48,132.48,1871710
2012-10-16,132.98,133.75,131.01,133.58,133.58,1819950
2012-10-17,133.75,136.5,132.21,136.14,136.14,2824070
2012-10-18,136.25,137.2,134.19,135.2,135.2,2761480
2012-10-19,135.13,135.43,132.0,132.1,132.1,1810130
2012-10-22,131.98,134.66,131.3,134.25,134.25,1753540
2012-10-23,133.86,134.84,130.7,130.96,130.96,1919000
2012-10-24,131.48,132.0,126.76,127.82,127.82,2384580
2012-10-25,127.45,128.35,125.55,126.25,126.25,2203320
2012-10-26,125.03,126.0,123.75,124.7,124.7,1998650
2012-10-29,124.57,125.16,123.45,124.46,124.46,976690
2012-10-30,124.43,124.43,122.5,122.78,122.78,1389980
2012-10-31,123.42,125.35,122.02,123.51,123.51,2866440
2012-11-01,123.0,125.5,122.05,123.61,123.61,2364930
2012-11-02,123.99,124.79,122.0,122.03,122.03,2442240
2012-11-06,122.52,123.98,121.12,122.0,122.0,1941960
2012-11-07,122.5,124.6,121.42,121.6,121.6,2149010
2012-11-08,120.97,121.0,116.7,117.99,117.99,3614750
2012-11-09,118.28,118.5,114.59,117.23,117.23,2825740
2012-11-12,117.9,119.91,117.11,119.24,119.24,1217000
2012-11-13,119.0,120.0,116.0,119.35,119.35,2753870
2012-11-14,119.49,120.75,117.8,119.47,119.47,2192920
2012-11-15,118.9,121.3,118.61,120.91,120.91,1174490
2012-11-16,120.38,121.35,119.2,121.05,121.05,1316970
2012-11-19,121.79,123.23,120.78,122.77,122.77,907160
2012-11-20,123.0,123.4,117.43,120.48,120.48,6567080
2012-11-21,120.0,121.68,119.34,120.0,120.0,4922830
2012-11-22,120.0,121.1,119.54,119.75,119.75,1623930
2012-11-23,119.96,121.0,119.36,120.62,120.62,1413950
2012-11-26,120.96,120.96,118.04,118.8,118.8,1583710
2012-11-27,119.15,119.9,115.43,116.09,116.09,4653640
2012-11-28,116.07,116.87,110.3,110.39,110.39,13849230
2012-11-29,111.42,112.84,108.41,110.5,110.5,12127420
2012-11-30,110.1,112.35,108.09,108.94,108.94,13184030
2012-12-03,99.36,109.7,99.36,109.54,109.54,6658890
2012-12-04,108.97,109.7,107.74,108.0,108.0,5357930
2012-12-05,108.49,110.45,108.47,109.13,109.13,4221190
2012-12-06,109.07,113.99,109.07,112.8,112.8,7719610
2012-12-07,113.5,114.47,111.33,113.1,113.1,4251280
2012-12-10,113.52,114.0,112.8,113.84,113.84,2468550
2012-12-11,113.8,116.37,113.0,116.15,116.15,4700270
2012-12-12,116.54,117.84,116.17,117.3,117.3,4642510
2012-12-13,117.27,119.02,117.27,118.22,118.22,5944620
2012-12-14,118.22,118.8,117.63,118.8,118.8,2653860
2012-12-17,118.8,118.99,116.1,116.96,116.96,4973310
2012-12-18,117.94,120.1,117.21,119.05,119.05,4756640
2012-12-19,119.5,121.6,119.5,119.75,119.75,3974920
2012-12-20,119.34,120.0,118.56,119.65,119.65,3328540
2012-12-21,118.95,120.4,117.3,120.0,120.0,4569350
2012-12-24,119.5,120.7,118.61,119.19,119.19,1267250
2012-12-25,119.5,119.5,117.6,118.6,118.6,790280
2012-12-26,118.71,119.25,117.77,119.18,119.18,1005170
2012-12-27,119.18,119.29,117.98,119.19,119.19,1664870
2012-12-28,119.34,120.5,118.91,120.4,120.4,2426750
2013-01-08,122.6,125.8,122.6,125.6,125.6,3760560
2013-01-09,125.58,126.2,125.03,125.9,125.9,3129230
2013-01-10,126.5,126.5,123.64,124.0,124.0,4049640
2013-01-11,124.0,124.25,122.71,123.17,123.17,2095350
2013-01-14,123.4,125.17,123.12,124.05,124.05,1726840
2013-01-15,124.05,124.26,121.67,121.67,121.67,3024870
2013-01-16,121.61,122.49,120.49,120.67,120.67,3240170
2013-01-17,120.5,123.0,120.35,122.64,122.64,3850680
2013-01-18,123.03,125.21,123.0,125.0,125.0,3640150
2013-01-21,125.02,125.66,124.56,125.2,125.2,1731280
2013-01-22,125.02,125.2,123.1,123.19,123.19,2503120
2013-01-23,123.45,125.39,123.27,124.44,124.44,2254690
2013-01-24,124.44,124.47,122.48,123.0,123.0,2493590
2013-01-25,122.9,123.49,122.01,123.39,123.39,1808760
2013-01-28,123.65,124.5,123.22,124.16,124.16,2039640
2013-01-29,124.3,125.9,123.81,124.3,124.3,3239130
2013-01-30,124.73,125.04,121.77,122.3,122.3,1880380
2013-01-31,122.3,122.96,120.75,120.99,120.99,2720070
2013-02-01,121.0,123.01,120.8,122.56,122.56,2346250
2013-02-04,123.42,124.81,121.5,121.96,121.96,2474960
2013-02-05,121.01,122.48,119.55,121.5,121.5,3786160
2013-02-06,122.5,123.11,120.2,120.95,120.95,2049210
2013-02-07,120.95,121.63,119.49,120.52,120.52,1776670
2013-02-08,120.25,120.89,114.25,120.39,120.39,5498840
2013-02-11,120.5,121.4,119.23,119.9,119.9,1112910
2013-02-12,120.68,120.68,118.8,119.01,119.01,1272990
2013-02-13,119.2,120.82,118.0,120.74,120.74,3479350
2013-02-14,120.41,121.26,118.51,119.12,119.12,2083010
2013-02-15,118.26,120.0,117.71,117.9,117.9,1558090
2013-02-18,117.73,119.88,117.5,118.94,118.94,1084440
2013-02-19,118.39,120.1,118.39,119.31,119.31,1227580
2013-02-20,120.5,123.87,120.5,121.57,121.57,8912080
2013-02-21,120.99,123.2,119.55,120.15,120.15,6601500
2013-02-22,120.48,120.65,119.17,119.35,119.35,3983790
2013-02-25,119.85,120.19,118.87,119.06,119.06,1123920
2013-02-26,118.08,119.92,116.81,117.46,117.46,2716470
2013-02-27,117.95,118.0,115.95,117.37,117.37,1625470
2013-02-28,118.01,124.55,117.46,122.72,122.72,13708820
2013-03-01,124.09,125.55,123.31,124.71,124.71,10732250
2013-03-04,124.8,126.25,123.06,123.58,123.58,4160470
2013-03-05,124.5,124.89,122.3,123.39,123.39,3923190
2013-03-06,125.05,125.05,121.66,121.73,121.73,2409250
2013-03-07,121.73,122.4,120.35,121.0,121.0,2036000
2013-03-11,121.86,123.57,121.23,122.4,122.4,3271510
2013-03-12,122.38,123.44,120.9,122.0,122.0,2492480
2013-03-13,121.96,121.96,119.61,119.61,119.61,2898550
2013-03-14,119.61,120.99,119.1,119.95,119.95,2623450
2013-03-15,120.49,121.5,118.11,118.35,118.35,5059200
2013-03-18,117.0,118.4,114.0,115.01,115.01,4270100
2013-03-19,115.04,116.1,114.58,115.04,115.04,2309340
2013-03-20,114.0,117.5,113.4,117.36,117.36,8555020
2013-03-21,120.1,122.45,119.5,121.35,121.35,9247980
2013-03-22,121.35,122.99,119.55,120.25,120.25,6566170
2013-03-25,120.63,122.79,120.63,121.0,121.0,3761960
2013-03-26,121.07,121.88,120.06,120.99,120.99,2801640
2013-03-27,121.02,123.67,121.02,123.06,123.06,6060320
2013-03-28,124.0,125.5,122.0,122.53,122.53,3902620
2013-03-29,123.0,123.41,121.26,122.05,122.05,1842560
2013-04-01,123.15,123.15,120.86,121.2,121.2,899030
2013-04-02,121.2,121.86,119.23,120.59,120.59,2302860
2013-04-03,120.94,121.32,119.03,120.43,120.43,2848790
2013-04-04,120.31,120.31,118.5,119.49,119.49,2899610
2013-04-05,117.26,119.74,117.26,118.4,118.4,2174280
2013-04-08,118.22,119.5,115.1,115.65,115.65,2601000
2013-04-09,116.43,117.09,114.56,116.97,116.97,2807230
2013-04-10,117.0,117.79,115.4,116.2,116.2,1864860
2013-04-11,116.2,117.0,114.9,115.11,115.11,2361180
2013-04-12,115.02,116.49,113.9,115.84,115.84,1889610
2013-04-15,115.0,117.35,112.77,113.2,113.2,3661300
2013-04-16,113.79,114.61,107.34,107.65,107.65,4496780
2013-04-17,107.94,108.41,103.55,105.58,105.58,4555350
2013-04-18,104.59,106.88,104.04,104.56,104.56,1758240
2013-04-19,112.9,112.9,104.4,106.2,106.2,2561210
2013-04-22,106.2,120.0,105.5,119.0,119.0,9906840
2013-04-23,115.0,115.0,110.5,111.0,111.0,6697660
2013-04-24,112.0,112.7,108.62,111.12,111.12,3828590
2013-04-25,112.0,112.0,109.8,111.72,111.72,4578360
2013-04-26,111.72,118.77,109.48,118.77,118.77,9990940
2013-04-29,115.93,117.69,113.74,116.6,116.6,4632320
2013-04-30,113.82,118.8,113.82,116.66,116.66,3439230
2013-05-02,115.0,116.0,112.64,113.6,113.6,1501350
2013-05-03,114.06,116.86,114.01,116.85,116.85,1662650
2013-05-06,116.85,117.33,115.5,115.5,115.5,1517830
2013-05-07,115.51,117.5,115.13,117.5,117.5,3231260
2013-05-08,117.36,117.87,115.81,117.5,117.5,2287280
2013-05-10,117.5,119.75,115.25,116.11,116.11,2109330
2013-05-13,116.11,116.54,114.58,114.6,114.6,3072750
2013-05-14,115.49,116.5,113.76,114.43,114.43,3242520
2013-05-15,114.62,116.34,113.13,116.34,116.34,5525150
2013-05-16,115.11,116.0,112.55,112.72,112.72,3218950
2013-05-17,112.72,114.25,112.65,113.97,113.97,1808770
2013-05-20,113.97,114.97,112.56,113.9,113.9,1500030
2013-05-21,113.66,114.3,111.7,112.99,112.99,3254440
2013-05-22,113.01,114.15,112.8,113.8,113.8,3202810
2013-05-23,113.23,113.26,107.71,108.71,108.71,5506100
2013-05-24,109.8,110.3,103.83,106.5,106.5,4205220
2013-05-27,106.43,106.81,104.54,106.71,106.71,1278590
2013-05-28,106.71,108.33,106.01,106.9,106.9,2861810
2013-05-29,107.79,107.79,103.0,103.52,103.52,4826410
2013-05-30,103.95,104.1,102.01,102.67,102.67,3202600
2013-05-31,102.65,103.85,100.35,101.0,101.0,5616970
2013-06-03,100.0,100.27,97.77,98.02,98.02,5439590
2013-06-04,98.45,103.0,98.45,100.01,100.01,6081750
2013-06-05,99.48,100.69,98.02,100.1,100.1,4858400
2013-06-06,99.5,99.5,96.04,97.79,97.79,4262540
2013-06-07,98.04,98.97,97.24,98.5,98.5,2378060
2013-06-10,98.6,101.33,98.15,99.15,99.15,3705360
2013-06-11,98.77,99.48,93.06,95.4,95.4,5584750
2013-06-13,94.4,94.4,87.4,93.5,93.5,10316980
2013-06-14,94.04,94.87,90.0,92.27,92.27,4696760
2013-06-17,92.29,96.5,92.1,96.5,96.5,10259380
2013-06-18,95.48,99.5,95.25,97.15,97.15,3753820
2013-06-19,97.19,105.21,96.21,96.84,96.84,3994440
2013-06-20,94.91,95.19,91.1,92.94,92.94,3734340
2013-06-21,91.8,92.97,88.11,91.98,91.98,11851910
2013-06-24,91.03,91.03,88.76,88.95,88.95,3282530
2013-06-25,88.74,91.29,88.51,88.8,88.8,3837550
