Date,Open,High,Low,Close,Adj Close,Volume
2012-06-08,82.2,82.23,80.41,81.38,81.38,180114510
2012-06-09,81.99,82.28,81.37,81.58,81.58,27759130
2012-06-13,82.08,83.5,81.5,83.04,83.04,148406110
2012-06-14,82.72,83.36,82.48,83.05,83.05,95193610
2012-06-15,83.7,84.77,83.06,84.34,84.34,139141590
2012-06-18,85.3,86.59,85.24,86.2,86.2,148837240
2012-06-19,85.92,87.12,85.53,86.96,86.96,117555770
2012-06-20,86.96,87.26,85.51,85.73,85.73,91968250
2012-06-21,85.0,86.39,84.36,85.36,85.36,123303180
2012-06-22,84.24,84.35,83.38,83.76,83.76,110165790
2012-06-25,83.76,83.89,81.92,82.3,82.3,103217620
2012-06-26,82.4,84.34,82.4,83.6,83.6,103686890
2012-06-27,83.97,84.84,83.25,84.5,84.5,95345170
2012-06-28,84.98,84.98,82.65,82.8,82.8,106434890
2012-06-29,84.03,86.46,84.02,86.39,86.39,134360810
2012-07-02,86.17,88.14,85.76,87.65,87.65,124198380
2012-07-03,88.0,91.07,87.96,90.94,90.94,147059480
2012-07-04,90.63,91.25,89.65,91.1,91.1,74889060
2012-07-05,90.55,92.43,89.95,90.92,90.92,171353550
2012-07-06,90.42,91.37,88.75,89.2,89.2,127342730
2012-07-09,88.88,90.37,88.7,90.02,90.02,99331850
2012-07-10,89.55,91.75,89.36,91.0,91.0,114587200
2012-07-11,90.57,90.86,89.27,90.01,90.01,113419770
2012-07-12,89.8,90.09,88.37,88.92,88.92,106413970
2012-07-13,89.98,91.08,89.42,90.98,90.98,96078380
2012-07-16,91.0,91.28,90.35,90.85,90.85,71919810
2012-07-17,91.48,92.34,91.0,91.22,91.22,114044370
2012-07-18,91.5,92.15,91.11,91.6,91.6,69043120
2012-07-19,92.15,92.9,91.86,92.15,92.15,102096140
2012-07-20,91.65,91.78,90.11,90.12,90.12,81329600
2012-07-23,89.25,89.3,85.51,86.0,86.0,151248620
2012-07-24,87.0,87.0,84.43,84.45,84.45,139889040
2012-07-25,84.0,87.18,83.01,86.9,86.9,204992030
2012-07-26,87.0,88.95,86.07,88.45,88.45,155942810
2012-07-27,89.1,90.44,88.24,90.31,90.31,115108250
2012-07-30,90.5,91.75,90.5,91.24,91.24,89795510
2012-07-31,91.5,91.73,89.41,89.73,89.73,104652230
2012-08-01,89.5,90.89,89.3,89.39,89.39,92766490
2012-08-02,89.39,91.07,87.4,88.79,88.79,154257240
2012-08-03,88.79,91.87,88.45,91.66,91.66,126328370
2012-08-06,91.91,94.07,91.4,93.3,93.3,185823220
2012-08-07,92.99,94.44,92.56,93.97,93.97,115326320
2012-08-08,93.51,94.3,92.82,93.94,93.94,94891340
2012-08-09,94.39,95.35,93.01,93.87,93.87,110866830
2012-08-10,93.34,93.35,91.95,92.85,92.85,88352720
2012-08-13,93.13,94.44,92.86,93.18,93.18,95856680
2012-08-14,93.48,94.15,93.11,93.58,93.58,74818210
2012-08-15,93.14,93.2,91.72,92.98,92.98,116026880
2012-08-16,93.5,93.8,92.33,92.82,92.82,80646440
2012-08-17,93.35,93.39,92.0,92.05,92.05,81586390
2012-08-20,92.24,92.45,91.12,91.52,91.52,93102360
2012-08-21,91.93,93.6,91.93,93.57,93.57,95928090
2012-08-22,92.8,93.45,92.23,92.55,92.55,82536390
2012-08-23,93.35,95.05,92.9,93.04,93.04,150287250
2012-08-24,92.5,93.47,92.17,92.91,92.91,100632610
2012-08-27,93.47,93.75,92.51,92.81,92.81,75908300
2012-08-28,92.69,94.8,92.48,94.48,94.48,130671700
2012-08-29,94.5,95.48,94.13,94.54,94.54,126515990
2012-08-30,94.39,94.79,93.41,93.49,93.49,78356390
2012-08-31,93.61,94.18,93.0,93.16,93.16,86066010
2012-09-03,93.2,94.5,93.17,94.08,94.08,59763380
2012-09-04,94.15,94.73,93.03,93.09,93.09,77520910
